Binary,N,T,P,Wall_Time_s,Speedup,Efficiency_pct,MPI_pct,MPI_time_s,Allgather_s,Bcast_s,Scatter_s,Allreduce_s,ForceTime_max_s,ForceTime_min_s,LoadImbalance_ratio
Baseline,10000,500,4,15.5602,1.000,25.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,3.7031,3.5446,1.022
ORB,10000,500,4,17.8389,0.872,21.8,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000
OpenMP,10000,500,4,51.8453,0.300,7.5,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000
Adaptive-θ,10000,500,4,18.2996,0.850,21.3,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000
Combined,10000,500,4,48.6946,0.320,8.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000
Parallel-Tree,10000,500,4,15.0475,1.034,25.9,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000
