690627.298383 422483.276441 206265.257545
364986.873342 765370.968506 317858.648361
564644.555375 743262.800287 981750.443679
728539.471635 628866.300416 796122.146359
252084.571007 119946.866724 215528.540760
282563.716507 231428.120651 484284.200184
309229.926261 922019.246168 775592.077608
978305.140655 114988.045354 752938.389116
786563.865483 434013.946577 85314.789760
230303.383165 602978.541694 623075.623851
485376.672508 554754.964423 241804.229053
675645.173400 848227.441196 135597.569828
788093.921756 902211.214008 71565.972730
793247.856399 596144.651736 353805.716986
687720.568689 682177.347981 570938.877293
514462.370570 610040.888962 538731.162749
257855.801469 402327.088695 491526.403161
60753.082318 644169.854662 348048.784334
470612.251710 436076.789203 56797.400969
141282.609531 170703.540381 646115.899673
379211.104799 349174.663661 943155.207304
877696.199642 705702.552335 94794.337885
396012.039462 176515.086691 678213.435510
480886.353990 761235.747324 954451.890462
161281.815088 734611.618448 89143.376893
152512.697694 944379.425172 500692.821176
796922.593590 289627.297504 798663.472932
675026.068372 308186.708103 87955.946466
614014.976058 619628.077852 256631.584880
50619.097340 928703.924198 865598.075127
766636.234160 53941.961063 850736.426002
512666.951279 535124.756839 55921.182283
206046.960629 171178.070774 610713.030457
967441.057678 357050.180338 282961.613519
592169.062248 713378.939929 967164.696891
949471.263637 258590.876659 63503.946127
149225.502795 3291.499979 323544.904835
172038.190383 37631.699536 526055.180378
102077.634702 573993.355889 727942.207790
189203.779289 513974.899250 301843.505341
697706.475308 408809.165020 67894.079801
860182.865822 275285.980748 401951.672827
582770.688177 332041.738694 786002.128026
750460.980865 810789.183926 486080.960271
980157.385477 951635.226935 942662.743328
967176.524447 1779.599285 70453.926512
6598.196110 183247.638212 164461.171547
484209.034058 207220.219252 412701.013294
248094.387362 135024.571668 962709.386660
564319.911939 727143.966133 425275.840245
5765.988176 332681.635278 677560.458025
605916.936258 8421.422455 479734.713248
807108.112789 105960.589209 575274.750825
959121.757044 853414.709146 807710.657781
308625.756789 446707.259208 107211.755754
711340.587834 284782.475381 835829.289371
85038.081129 144488.892249 398024.358378
679584.936423 794078.455505 696433.621730
912284.682121 144448.799503 393382.576472
483209.813986 44872.860178 574948.723432
288654.757107 602098.319089 862524.416684
642977.669449 697163.503135 463394.478322
645077.321575 885045.157677 832741.266506
86666.697958 626138.562141 6791.141689
812966.421488 82145.900432 724087.624839
421994.009381 812508.929433 987030.031222
363760.770103 492547.810107 450693.059070
128028.459918 20748.719740 731634.395901
33398.780083 681387.696329 285847.212416
447483.592492 525500.710433 412964.148314
565315.502488 169574.876611 815229.360280
849932.658072 452319.892122 697817.121692
336517.889972 412005.937653 401412.447239
465386.836884 983916.453742 255108.237667
143561.931819 652819.613452 721685.798986
894694.187327 312331.063142 413524.691001
951698.353893 136664.959587 46716.239304
601597.998939 748255.386411 11554.083597
501966.950222 2019.592661 680822.079646
607664.084240 729471.402867 637378.035222
509304.507625 925808.726625 219562.128072
460971.662757 139357.601112 803387.416290
85743.803089 729854.557925 474453.390112
519884.505310 506629.802306 207994.003823
12918.218236 229500.625953 974430.452097
241598.571189 504898.178043 586415.670365
365315.706103 195026.787751 204510.882981
580389.452834 231390.952675 294377.720853
533813.845155 822687.113243 887814.152580
94230.091909 465644.983810 396637.163578
312234.348970 561739.555389 856944.124145
111739.025208 97374.356453 675564.461927
346509.236315 649462.284130 411545.168266
756428.465985 834633.137254 15883.771219
934848.999012 180914.561608 561756.287069
462130.279122 461837.325603 603234.129308
14357.545454 210890.443852 603619.004624
876255.115555 602065.805508 115647.990924
620531.989997 653957.149001 480399.453536
728506.643282 458046.413257 344678.206034
354916.925006 649969.782035 90453.963953
278702.804215 230349.234441 395969.689916
142140.700849 644331.755960 972300.276953
285159.974625 986395.329810 353690.809344
50018.369257 35854.833192 341940.587937
686988.065894 705440.696330 245085.689462
53356.747843 619771.658492 496631.721545
124767.175598 957570.348213 840155.844155
821408.547052 82498.311866 149254.434749
164179.137492 770186.704991 583096.937932
850342.977961 190216.056242 196933.266201
758390.152815 869461.237389 708547.065120
531600.100915 672910.828157 10356.877720
305657.598242 879985.391379 653634.792480
537438.183884 914371.006037 258166.887558
156946.518184 27928.229594 589613.052175
786199.274204 298781.846385 79396.364257
256283.209550 867321.743281 624776.632996
256608.378867 585948.497697 618015.140720
965311.534788 35023.206074 842342.766574
429556.582090 530400.038177 852360.469850
933382.164394 28500.293062 529833.986756
443565.094590 517957.230841 599136.235204
79572.595643 189725.936796 863026.624721
844437.336352 14769.643942 13879.576316
446096.529912 443948.245814 162171.264765
580073.585730 43310.477167 62141.811310
599243.918328 319148.817776 395319.709676
572491.528177 683697.422202 228769.645932
586841.150801 829727.087449 364231.384769
851709.103899 695693.743512 507370.150296
282638.161595 502331.142224 624217.234668
977745.502287 622237.377180 285889.147870
783173.058003 990690.735068 240394.427411
569653.103126 654333.679170 590388.435868
199744.011106 3571.706208 816286.463062
831998.571488 178254.740073 354443.450387
971600.535756 189506.714033 589913.268969
391217.476546 11918.799122 308001.004946
690920.183162 725808.147647 168879.716674
239509.048951 618368.709824 364717.767098
503345.768225 876012.797175 341599.943822
775036.106664 507936.024061 13183.571098
648504.403329 562323.170451 874755.654566
757062.624289 716383.425827 234309.287853
396428.613235 268844.125351 100397.090117
808271.133761 26654.850913 291388.314224
247161.938450 764555.974450 181946.255673
250008.340694 968139.233907 16686.648005
212777.954887 914216.159535 894333.870988
934457.001717 343161.241561 26427.037771
680774.331641 663613.874838 145908.365788
847884.545749 261047.381302 727490.951577
455549.180063 115793.130371 662517.553972
57464.723337 719385.889597 841877.391200
987171.885202 506535.047629 900419.799451
405846.914517 359174.756883 570633.501401
907884.891151 691114.845978 26174.407234
438526.149127 731449.846417 548356.784926
415531.513931 290964.775191 226629.416889
217478.979544 606630.280955 452446.349210
172171.487203 500206.123061 238118.105225
859149.407317 588839.651918 732021.928569
413534.679967 183006.423439 715186.506483
357826.566992 143370.560971 376785.383522
351036.222882 301301.647772 374185.505295
3521.024205 960299.066697 202328.880086
341721.310064 129925.281525 345713.639807
180011.413002 18634.966253 995491.744219
359989.934077 975206.810351 790880.894428
979470.099255 279478.638358 894763.349734
439424.406768 904492.361503 162965.792141
823437.341122 554989.853573 925574.241731
501825.357605 704288.591039 762660.217171
119295.614266 179906.097288 765301.793111
228583.876310 500373.767377 249388.603630
363873.567021 216459.957648 821532.891028
439230.178212 713887.999424 136618.402749
601654.247590 630957.318236 230496.729320
68291.471935 269303.702580 353362.799664
860695.473693 323653.989046 419613.690414
84742.471627 985284.243850 660534.556705
157148.400064 541948.766344 99785.112327
389012.914322 649198.742590 551638.557954
377422.645018 328885.003816 757920.710919
591893.795872 594400.533307 422926.395535
276340.198905 107443.945490 389952.248308
334999.934288 116019.171993 83379.402374
321526.720056 540524.636172 983237.694218
511517.204127 228674.540652 737971.175022
853070.954138 299829.082774 625609.842852
306012.628884 779779.586234 949071.402148
272212.964036 6268.624045 115233.219535
149646.905300 896350.312244 67024.318255
276721.235960 977722.893477 575305.386402
51508.156496 532051.122273 949542.436101
978828.990438 33136.701035 955296.566867
10049.016803 404133.103016 216471.849496
546320.794064 722425.999129 920101.002595
35144.844992 137342.560721 869589.184856
820626.367857 790149.276635 990957.202855
732212.090631 94979.254955 565930.335226
435477.947546 691116.842055 923936.094504
249087.779846 344882.428145 528242.704894
153245.690832 438725.826902 727756.897298
701240.557245 536915.005247 612283.252447
74428.933496 498655.757360 115090.418148
935259.089581 26253.612931 218502.463293
104993.914241 748432.545600 599688.390452
107601.065720 983118.886353 420775.118387
494141.539069 158125.338279 709502.410491
233769.931923 182553.735643 751431.274311
520552.468215 765406.068858 825605.465982
179582.986706 351995.840558 801270.213971
2437.472381 696392.287212 946184.676890
92796.684884 186161.836170 760801.497644
691932.244447 721033.711070 354091.544036
637317.107231 273007.783268 643091.763093
326374.927492 772632.567724 870693.862314
491583.260807 128781.569470 717281.710649
333744.667272 282788.792027 775283.363748
520037.716312 991409.039915 190236.894963
789320.353987 627824.886677 178073.140922
674833.782216 965163.784379 874701.591722
86194.631739 252696.881453 162874.886545
502608.203280 49976.750867 657129.164956
42092.075532 249871.631624 328203.762531
541256.621108 274893.550695 200916.154787
931013.554415 193657.656090 818795.712118
728515.319353 107658.065147 331483.905761
653151.028553 979384.510125 539352.716847
214441.226051 120766.655689 215894.329187
440331.754817 276046.351187 160864.251977
719038.217315 684143.503249 478291.095040
108879.352760 344327.518163 189675.801652
230289.958242 977000.996759 791060.036957
524354.026745 920354.421464 809214.425048
846036.525786 640348.280484 491759.262262
641070.582206 863751.155885 543076.175957
281206.839825 214342.233646 232966.703570
912818.294522 978145.211596 465959.882835
268366.348298 187140.921363 919561.185882
457398.695998 460008.124184 49911.344271
687522.774594 867230.275171 550315.743339
697404.741465 603162.503529 217108.310888
99627.891816 743106.921862 537765.391992
914702.464404 758375.790034 224855.313344
726356.160549 274656.982517 69290.790341
809658.914564 575695.062848 528769.230379
95434.888687 78189.798005 171328.802339
638182.038141 451213.822447 126520.034747
125509.256927 858144.265541 622769.177150
557057.992424 339514.254008 915174.077512
533785.281997 804388.753182 219469.460183
897044.792199 640796.058062 192142.409030
839153.150236 866875.546047 736586.358712
886842.636816 693313.495931 450559.493304
888021.197793 585425.427352 749392.682144
904477.763517 86747.648006 135724.689807
246713.604751 749902.043638 810720.509753
282186.424103 950834.041253 762774.920446
714175.315431 863224.347619 494730.882743
476092.769728 809493.592577 427548.912113
190779.640674 261493.494654 531016.335934
982137.925603 434904.050831 563661.250953
540730.264050 433874.977873 23287.966877
506563.461755 126615.045826 843163.172210
555426.652234 662984.705466 246295.351130
353325.532347 102011.173405 693069.926420
66095.999888 218104.692011 987890.671010
813568.851016 31810.142409 117640.136449
